rotten_tomatoes_link,directors
m/speed_2_cruise_control,Jan de Bont
m/speed_dating_2010,Joseph A. Elmore Jr.
m/speed_kills,Jodi Scurfield
m/speed_of_life_2019,Liz Manashil
m/speed_racer,Lilly Wachowski
m/speed_sisters,Amber Fares
m/speedway_junky,Nickolas Perry
m/speedy,Ted Wilde
m/speedy_singh_2011,Robert H. Lieberman
m/spenser_confidential,Peter Berg
m/sphere,Barry Levinson
m/spice_world,Bob Spiers
m/spider_baby,Jack Hill
m/spider_in_the_web,Eran Riklis
m/spider_man_far_from_home,Jon Watts
m/spider_man_homecoming,Jon Watts
m/spider_man_into_the_spider_verse,Bob Persichetti
m/spiderhole,Daniel Simpson
m/spiderman,Sam Raimi
m/spiderman_2,Sam Raimi
m/spiderman_3,Sam Raimi
m/spiders_2013,Tibor Takács
m/spiders_part_1_the_the_golden_lake,Fritz Lang
m/spiderwick_chronicles,Mark Waters (VIII)
m/spies_in_disguise,Troy Quane
m/spies_like_us,John Landis
m/spike_island,Mat Whitecross
m/spin_out,Tim Ferguson
m/spine_tingler_the_william_castle_story,Jeffrey Schwarz
m/spinning_into_butter,Mark Brokaw
m/spinning_man,Simon Kaijser
m/spinning_plates,Joseph Levy
m/spiral_2018,Laura Fairrie
m/spiral_farm,Alec Tibaldi
m/spirit_of_76,Lucas Reiner
m/spirit_of_st_louis,Billy Wilder
m/spirit_stallion_of_the_cimarron,Lorna Cook
m/spirit_trap,David Smith
m/spirited_away,Hayao Miyazaki
m/spitfire_grill,Lee David Zlotoff
m/splendor_in_the_grass,Elia Kazan
m/splintered,Simeon Halligan
m/splinters_2011,Adam Pesce
m/split_2017,M. Night Shyamalan
m/spoken_word,Victor Nuñez
m/spongebob_squarepants_movie,Stephen Hillenburg
m/spork_2010,J.B. Guhman
m/spotlight_2015,
m/spread,David Mackenzie
m/spree_2020,Eugene Kotlyarenko
m/spring_2015,Aaron Moorhead
m/spring_breakdown,Ryan Shiraki
m/spring_breakers_2013,Harmony Korine
m/spring_forward,Tom Gilroy
m/spring_summer_fall_winterand_spring,Kim Ki-duk
m/springsteen_and_i_2013,Baillie Walsh
m/springsteen_on_broadway,Thom Zimny
m/springtime-in-a-small-town,Tian Zhuangzhuang
m/sprinter,Storm Saulter
m/spun,Jonas Åkerlund
m/sputnik_2020,Egor Abramenko
m/spy_2015,Paul Feig
m/spy_game,Tony Scott
m/spy_hard,Rick Friedberg
m/spy_intervention,Drew Mylrea
m/spy_kids,Robert Rodriguez
m/spy_kids_2_island_of_lost_dreams,Robert Rodriguez
m/spy_kids_3d_game_over,Robert Rodriguez
m/spy_kids_all_the_time_in_the_world_in_4d,
m/spy_next_door,Brian Levant
m/spy_who_loved_me,Lewis Gilbert
m/spymate_2006,Robert Vince
m/squanto_a_warriors_tale,Xavier Koller
m/square_grouper_the_godfathers_of_ganja,Billy Corben
m/squid_and_the_whale,Noah Baumbach
m/st_agatha,
m/st_bernard_syndicate,Mads Brügger
m/st_elmos_fire,Joel Schumacher
m/st_ives,J. Lee Thompson
m/st_trinians,Barnaby Thompson
m/st_trinians_ii_the_legend_of_frittons_gold,Oliver Parker
m/st_vincent,Ted Melfi
m/stage_beauty,Richard Eyre
m/stage_door,Gregory La Cava
m/stage_fright_2014,Jerome Sable
m/stake_land,Jim Mickle
m/stalag_17,Billy Wilder
m/stalingrad_2014,Fedor Bondarchuk
m/stalking_moon,Robert Mulligan
m/stan_helsing_a_parody,Bo Zenga
m/stand_and_deliver,Ramón Menéndez
m/stand_by_me_1986,Rob Reiner
m/stand_clear_of_the_closing_doors,Sam Fleischner
m/stand_up_guys,Fisher Stevens
m/standard_operating_procedure,Errol Morris
m/standing_in_the_shadows_of_motown,Paul Justman
m/standing_ovation_2010,Stewart Raffill
m/standing_up_falling_down,Matt Ratner
m/standoff_2016,Adam Alleca
m/stanley_and_iris,Martin Ritt
m/stanley_kubrick_a_life_in_pictures,Jan Harlan
m/star_80,Bob Fosse
m/star_chamber,Peter Hyams
m/star_kid,Manny Coto
m/star_maps,Miguel Arteta
m/star_trek_11,J.J. Abrams
m/star_trek_beyond,Justin Lin
m/star_trek_first_contact,Jonathan Frakes
m/star_trek_generations,David Carson
m/star_trek_ii_the_wrath_of_khan,Nicholas Meyer
m/star_trek_iii_the_search_for_spock,Leonard Nimoy
m/star_trek_insurrection,Jonathan Frakes
m/star_trek_into_darkness,J.J. Abrams
m/star_trek_iv_the_voyage_home,Leonard Nimoy
m/star_trek_nemesis,Stuart Baird
m/star_trek_the_motion_picture,Robert Wise
m/star_trek_v_the_final_frontier,William Shatner
m/star_trek_vi_the_undiscovered_country,Nicholas Meyer
m/star_wars,George Lucas
m/star_wars_episode_i_the_phantom_menace,George Lucas
m/star_wars_episode_ii_attack_of_the_clones,George Lucas
m/star_wars_episode_iii_revenge_of_the_sith,George Lucas
m/star_wars_episode_vi_return_of_the_jedi,Richard Marquand
m/star_wars_episode_vii_the_force_awakens,J.J. Abrams
m/star_wars_the_last_jedi,Rian Johnson
m/star_wars_the_rise_of_skywalker,J.J. Abrams
m/starbuck,Ken Scott (V)
m/starcrash,Luigi Cozzi
m/stardog_and_turbocat,Ben Smith
m/stardust,Matthew Vaughn
m/stardust_memories,Woody Allen
m/starfish_2019,A.T. White
m/stargate,Roland Emmerich
m/stark_raving_mad,Drew Daywalt
m/starlet_2012,Sean Baker (II)
m/starman,John Carpenter
m/starred_up,David Mackenzie
m/starry_eyes,Dennis Widmyer
m/stars_and_strife,David Smick
m/stars_fell_on_henrietta,James Keach
m/starship_troopers,Paul Verhoeven
m/starship_troopers_2_hero_of_the_federation,Phil Tippett
m/starship_troopers_3_marauder,Edward Neumeier
m/starsky_and_hutch,Todd Phillips
m/start_the_revolution_without_me,Bud Yorkin
m/starter_for_ten,Tom Vaughan
m/starting_out_in_the_evening,Andrew Wagner
m/starting_over,Alan J. Pakula
m/startupcom,Chris Hegedus
m/state_and_main,David Mamet
m/state_like_sleep,Meredith Danluck
m/state_of_the_union,Frank Capra
m/state_property,Abdul Malik Abbott
m/state_property_two,Damon Dash
m/statement,Norman Jewison
m/stateside,Reverge Anselmo
m/station_agent,
m/stations_of_the_cross,Dietrich Brüggemann
m/stations_of_the_elevated,Manfred Kirchheimer
m/status_update,Scott Speer
m/stay,Marc Forster
m/stay_2013,Wiebke von Carolsfeld
m/stay_cool,Ted Smith
m/stay_human,Michael Franti
m/stay_hungry,Bob Rafelson
m/stay_tuned,Peter Hyams
m/staying_alive,Sylvester Stallone
m/steal_a_pencil_for_me,Michèle Ohayon
m/steal_this_movie,Robert Greenwald
m/stealing_beauty,Bernardo Bertolucci
m/stealing_harvard,Bruce McCulloch
m/stealing_home,Steven Kampmann
m/steam,Kyle Schickner
m/steamboat_bill_jr,Buster Keaton
m/steamboy,Katsuhiro Ôtomo
m/steel_city,Brian Jun
m/steel_helmet,Samuel Fuller
m/steel_magnolias,Herbert Ross
m/steelyard_blues,Alan Myerson
m/steep,Mark Obenhaus
m/stella_days,Thaddeus O'Sullivan
m/stella_street,Peter Richardson
m/stellas_last_weekend,Polly Draper
m/stendhal_syndrome,Dario Argento
m/step_into_liquid,Dana Brown
m/step_sisters,Charles Stone III
m/step_up,Anne Fletcher
m/step_up_2_the_streets,Jon M. Chu
m/step_up_3,Ken Seng
m/step_up_all_in,Trish Sie
m/step_up_revolution,Scott Speer
m/stepfather,Joseph Ruben
m/stepfather_ii,Jeff Burr
m/stepford_wives,Frank Oz
m/stephen-kings-it1990,Tommy Lee Wallace
m/stephen_kings_a_good_marriage,Peter Askin
m/stephen_kings_graveyard_shift,Ralph S. Singleton
m/stephen_kings_silver_bullet,Daniel Attias
m/stephen_kings_the_langoliers,Tom Holland
m/stephen_tobolowskys_birthday_party,Robert Brinkmann
m/stepmom,Chris Columbus
m/sterile_cuckoo,Alan J. Pakula
m/steve_and_sky,Felix Van Groeningen
m/steve_jobs_2015,Danny Boyle
m/steve_jobs_man_in_the_machine,Alex Gibney
m/steve_jobs_the_lost_interview,Paul Sen
m/steve_martin_and_martin_short_an_evening_you_will_forget_for_the_rest_of_your_life,Marcus Raboy
m/steve_mcqueen_the_man_and_le_mans,Gabriel Clarke
m/steven_tyler_out_on_a_limb,Casey Tebo
m/stevie,
m/stevie_nicks_in_your_dreams,Dave Stewart
m/stick,Burt Reynolds
m/stick_it,Jessica Bendinger
m/stiff-upper-lips,Gary Sinyor
m/stigmata,Rupert Wainwright
m/still_alice,Richard Glatzer
m/still_bill,Damani Baker
m/still_breathing,James F. Robinson
m/still_crazy,Brian Gibson
m/still_here,Vladimir V. Feyer
m/still_mine,Michael McGowan
m/still_of_the_night,Robert Benton
m/still_smokin,Tommy Chong
m/stillborn_2018,Brandon Christensen
m/sting_2,Jeremy Kagan
m/stink,Jon J. Whelan
m/stir_crazy,Sidney Poitier
m/stir_of_echoes,David Koepp
m/stitch_the_movie,Tony Craig
m/stitches_2012,Adiya Imri Orr
m/stoker_2013,Park Chan-wook
m/stolen,Rebecca Dreyfus
m/stolen_2012,Simon West
m/stolen_seas_2013,Thymaya Payne
m/stolen_summer,Pete Jones
m/stomp_the_yard,Sylvain White
m/stone,John Curran
m/stone_boy,Christopher Cain
m/stone_bros_2009,Richard Frankland
m/stoned,Stephen Woolley
m/stonewall_2015,Roland Emmerich
m/stoning_of_soraya_m,
m/stop_loss,Kimberly Peirce
m/stop_making_sense,Jonathan Demme
m/stop_or_my_mom_will_shoot,Roger Spottiswoode
m/stop_the_pounding_heart,Roberto Minervini
m/storage_24,Johannes Roberts
m/stories_we_tell,Sarah Polley
m/storks,Nicholas Stoller
m/storm_surfers_3d,Chris Nelius
m/stormy_monday,Mike Figgis
m/story_of_a_love_affair,Michelangelo Antonioni
m/story_of_us,Rob Reiner
m/story_of_vernon_and_irene_castle,H.C. Potter
m/storytelling,Todd Solondz
m/straight_outta_compton,F. Gary Gray
m/straight_story,David Lynch
m/straight_talk,Barnet Kellman
m/straight_time,Ulu Grosbard
m/straight_to_hell,Alex Cox
m/straightjacket,Richard Day
m/straitjacket,William Castle
m/stranded_2012,
m/stranded_i_have_come_from_a_plane_that_crashed_on_the_mountains,Gonzalo Arijón
m/strange_affair_of_uncle_harry,Robert Siodmak
m/strange_bedfellows,Dean Murphy
m/strange_brew,Dave Thomas
m/strange_but_true,Rowan Athale
m/strange_cargo,Frank Borzage
m/strange_fits_of_passion,Elise McCredie
m/strange_illusion,Edgar G. Ulmer
m/strange_invaders,Michael Laughlin
m/strange_love_of_martha_ivers,Lewis Milestone
m/strange_magic,Gary Rydstrom
m/strange_powers_stephin_merritt_and_the_magnetic_fields,Gail O'Hara
m/strange_wilderness,Fred Wolf (II)
m/strange_woman,Edgar G. Ulmer
m/strangeland,John Pipelow
m/stranger_among_us,Sidney Lumet
m/stranger_by_the_lake,Alain Guiraudie
m/stranger_than_fiction,Marc Forster
m/stranger_than_paradise,Jim Jarmusch
m/strangerland_2015,Kim Farrant
m/stratton,Simon West
m/stratton_story,Sam Wood
m/straw-dogs-2011,Rod Lurie
m/strawberry_blonde,Raoul Walsh
m/strawberry_flavored_plastic,Colin Bemis
m/stray_2018,Dustin Feneley
m/stray_2019,Joe Sill
m/stray_bullets,Jack Fessenden
m/stray_dolls,Sonejuhi Sinha
m/streamers,Robert Altman
m/street_fighter,Shigehiro Ozawa
m/street_fighter_the_legend_of_chun_li,Andrzej Bartkowiak
m/street_kings,David Ayer
m/street_smart,Jerry Schatzberg
m/streetdance_2d,Max Giwa
m/streetlight_harmonies,Brent Wilson
m/streets_of_blood,Charles Winkler
m/streets_of_fire,Walter Hill
m/stretch_2014,Joe Carnahan
m/strictly_business,Kevin Hooks
m/strike1924,Sergei M. Eisenstein
m/strike_2020,Trevor Hardy
m/striking_distance,Rowdy Herrington
m/strings,Anders Rønnow Klarlund
m/stripes,Ivan Reitman
m/striptease,Andrew Bergman
m/stroker_ace,Hal Needham
m/strong_island,
m/stronger_2017,David Gordon Green
m/strongman_2009,
m/stroszek,Werner Herzog
m/struck_by_lightning_2012,Brian Dannelly
m/stuart_little,Rob Minkoff
m/stuart_little_2,Rob Minkoff
m/stuart_saves_his_family,Harold Ramis
m/stuber,Michael Dowse
m/stuck,Stuart Gordon
m/stuck_between_stations,Brady Kiernan
m/stuck_in_love,Josh Boone
m/stuck_on_you,Bobby Farrelly
m/student_bodies,Mickey Rose
m/student_of_the_year,Karan Johar
m/stuff,Larry Cohen
m/stunt_man,Richard Rush
m/stuntwomen,April Wright
m/stupids,John Landis
m/sturm,Hans-Christian Schmid
m/styx_2019,Wolfgang Fischer
m/subject_two,Philip Chidel
m/sublime,Tony Krantz
m/submarine-2010,Richard Ayoade
m/submerged_2015,Stephen E. Miller
m/submergence_2018,Wim Wenders
m/subspecies,Ted Nicolaou
m/substitute_2_schools_out,Steven Pearl
m/suburban_commando,Burt Kennedy
m/suburban_girl,Marc Klein
m/suburbans,Donal Lardner Ward
m/suburbicon,George Clooney
m/subway,Luc Besson
m/sucker_punch_2011,Zack Snyder
m/sudden_fear,David Miller
m/sudden_impact,Clint Eastwood
m/suddenly_last_summer,Joseph L. Mankiewicz
m/sueno,Renee Chabria
m/suffragette,Sarah Gavron
m/sugar_and_spice,Francine McDougall
m/sugar_mountain,Richard Gray
m/suicide_kings,Peter O'Fallon
m/suicide_squad_2016,David Ayer
m/suicide_squad_hell_to_pay,Sam Liu
m/sukai_kurora,Mamoru Oshii
m/sukiyaki_western_django,Takashi Miike
m/sullivans_travels,Preston Sturges
m/sully,Clint Eastwood
m/sum_of_all_fears,
m/summer-wars,Mamoru Hosoda
m/summer_04,Stefan Krohmer
m/summer_camp_2016,Alberto Marini
m/summer_catch,Mike Tollin
m/summer_hours,Olivier Assayas
m/summer_in_february,Christopher Menaul
m/summer_love,Piotr Uklanski
m/summer_night_2019,Joseph Cross
m/summer_of_42,Robert Mulligan
m/summer_of_blood,Onur Tukel
m/summer_of_sam,Spike Lee
m/summer_place,Delmer Daves
m/summer_rental,Carl Reiner
m/summer_stock,Charles Walters
m/summerland_2020,Jessica Swale
m/summerland_2020_2,Kurtis David Harder
m/summers_tale,Eric Rohmer
m/summertime,David Lean
m/sun_choke,Ben Cresciman
m/sun_dogs_2017,Jennifer Morrison
m/sun_ra_a_joyful_noise,Robert Mugge
m/sunday_bloody_sunday,John Schlesinger
m/sunday_in_new_york_1963,Peter Tewksbury
m/sundays_illness,Ramón Salazar
m/sundown_2016,Fernando Lebrija
m/sunlight_jr,Laurie Collyer
m/sunrise,F.W. Murnau
m/sunset,Blake Edwards
m/sunset_2018,Jamison M. LoCascio
m/sunset_boulevard,Billy Wilder
m/sunset_edge,Daniel Peddle
m/sunset_park,Steve Gomer
m/sunset_song,Terence Davies
m/sunshine,Danny Boyle
m/sunshine_cleaning,Christine Jeffs
m/sunshine_state,John Sayles
m/sunshine_superman,Marah Strauch
m/super,Rod Daniel
m/super-2010,James Gunn (II)
m/super-high-me,Michael Blieden
m/super_8,J.J. Abrams
m/super_babies_baby_geniuses_2,Bob Clark
m/super_capers,Ray Griggs
m/super_dark_times,Kevin Phillips
m/super_duper_alice_cooper,Reginald Harkema
m/super_size_me,Morgan Spurlock
m/super_size_me_2_holy_chicken,Morgan Spurlock
m/super_troopers,Jay Chandrasekhar
m/super_troopers_2,Jay Chandrasekhar
m/superbad,Greg Mottola
m/supercon,Zak Knutson
m/supercop,Stanley Tong
m/supercross,Steve Boyum
m/superfly,Gordon Parks Jr.
m/superfly_2018,Director X.
m/supergirl,Jeannot Szwarc
m/superman_doomsday,Lauren Montgomery
m/superman_ii,Richard Lester
m/superman_iii,Richard Lester
m/superman_iv_the_quest_for_peace,Sidney J. Furie
m/superman_man_of_steel,Zack Snyder
m/superman_red_son,Sam Liu
m/superman_returns,Bryan Singer
m/superman_the_movie,Richard Donner
m/superman_unbound,James Tucker
m/superman_vs_the_elite,Michael Chang
m/supermensch_the_legend_of_shep_gordon,Mike Myers
m/supervized,Steve Barron
m/support_your_local_gunfighter,Burt Kennedy
m/support_your_local_sheriff,Burt Kennedy
m/supporting_characters,Daniel Schechter
m/supremacy,Deon Taylor
m/surf_nazis_must_die,Peter George
m/surfer_dude,S.R. Bindler
m/surfs_up,Ash Brannon
m/surfwise,Doug Pray
m/surrogate_valentine_2011,Dave Boyle
m/surveillance,Jennifer Chambers Lynch
m/survival_of_the_dead,George A. Romero
m/survive_the_night_2020,Matt Eskandari
m/surviving_christmas,Mike Mitchell
m/surviving_picasso,James Ivory
m/surviving_progress_2011,Mathieu Roy
m/surviving_the_game,Ernest R. Dickerson
m/survivor_2015,James McTeigue
m/survivors,Michael Ritchie
m/survivors_guide_to_prison,Matthew Cooke
m/susan_slept_here,Frank Tashlin
m/susanne_bartsch_on_top,Anthony Caronna
m/sushi_girl,Kern Saxton
m/sushi_the_global_catch_2012,Mark Hall
m/suspect_zero,E. Elias Merhige
m/suspended_animation,John D. Hancock
m/suspiria_2018,Luca Guadagnino
m/suzi_q,Liam Firmager
m/swades,Ashutosh Gowarikar
m/swallow,Carlo Mirabella-Davis
m/swamp_thing,Wes Craven
m/swan_princess,Richard Rich
m/swarm,Irwin Allen
m/swat,Clark Johnson
m/sweaty_betty_2016,Zachary Reed
m/sweeney_todd_the_demon_barber_of_fleet_street_2007,Tim Burton
m/sweet_bean,Naomi Kawase
m/sweet_hearts_dance,Robert Greenwald
m/sweet_hereafter,Atom Egoyan
m/sweet_home_alabama,Andy Tennant
m/sweet_land,Ali Selim
m/sweet_sixteen,Ken Loach
m/sweet_smell_of_success,Alexander Mackendrick
m/sweet_vengeance,Logan Miller (II)
m/sweet_virginia_2017,Jamie M. Dagg
m/sweetest_thing,Roger Kumble
m/sweetheart,J.D. Dillard
m/sweethearts-of-the-prison-rodeo,Bradley Beesley
m/sweetie,Jane Campion
m/sweetness_in_the_belly,Zeresenay Berhane Mehari
m/swept_away,Lina Wertmüller
m/swept_from_the_sea,Beeban Kidron
m/swerve_2012,Craig Lahiff
m/swimfan,John Polson
m/swimmer,Frank Perry
m/swimming_pool,François Ozon
m/swimming_with_men,Oliver Parker
m/swimming_with_sharks,George Huang
m/swing,Martin Guigui
m/swing_1999,Nick Mead
m/swing_kids,Thomas Carter
m/swing_shift,Jonathan Demme
m/swing_vote,Joshua Michael Stern
m/swingers,Doug Liman
m/swinging_safari,Stephan Elliott
m/swinging_with_the_finkels,Jonathan Newman
m/swiped_2018,Ann Deborah Fishman
m/swiss_army_man,Daniel Scheinert
m/switch_2012,Jay Sun
m/switchback,Jeb Stuart
m/switchblade_sisters,Jack Hill
m/switching_goals,David Steinberg
m/swoon,Tom Kalin
m/sword_in_the_stone,Wolfgang Reitherman
m/sword_master,Derek Yee
m/sword_of_trust,Lynn Shelton
m/sword_of_vengeance,Jim Weedon
m/swordfish,Dominic Sena
m/sx_tape_2014,Bernard Rose
m/sydney_white,Joe Nussbaum
m/sylvia_scarlett,George Cukor
m/sympathy-for-the-devil-one-plus-one,Jean-Luc Godard
m/sympathy_for_delicious,Mark Ruffalo
m/sympathy_for_lady_vengeance,Park Chan-wook
m/sympathy_for_mr_vengeance_2002,Park Chan-wook
m/synchronicity_2016,Jacob Gentry
m/synecdoche_new_york,Charlie Kaufman
m/syriana,Stephen Gaghan
m/syrup_2013,Aram Rappaport
m/system_crasher,Nora Fingscheidt
m/t2_trainspotting,Danny Boyle
m/ta_ra_rum_pum,Siddharth Anand
m/table_19,Jeffrey Blitz
m/tabloid_2010,Errol Morris
m/tadpole,Gary Winick
m/tae_guk_gi_the_brotherhood_of_war,Kang Je-kyu
m/tag_2018,Jeff Tomsic
m/tai_chi_hero_2012,Stephen Fung
m/tai_chi_zero,Stephen Fung
m/tail_lights_fade,Malcolm Ingram
m/tailor_of_panama,John Boorman
m/take_every_wave_the_life_of_laird_hamilton,Rory Kennedy
m/take_me_home_tonight,Michael Dowse
m/take_me_out_to_the_ballgame,Busby Berkeley
m/take_me_to_the_river_2014,Martin Shore
m/take_me_to_the_river_2016,Matt Sobel
m/take_shelter,Jeff Nichols
m/take_the_lead,Liz Friedlander
m/take_this_waltz,Sarah Polley
m/take_your_pills,Alison Klayman
m/taken,Pierre Morel
m/taken_2_2012,Olivier Megaton
m/taken_3,Olivier Megaton
m/takers,John Luessenhop
m/taking_care_of_business,Arthur Hiller
m/taking_chance,Ross Katz
m/taking_lives,D.J. Caruso
m/taking_sides_le_cas_furtwangler,István Szabó
m/taking_woodstock,Ang Lee
m/talaash,Reema Kagti
m/tale_of_despereaux,
m/tale_of_tales,Matteo Garrone
m/talent_given_us,Andrew Wagner
m/talented_mr_ripley,Anthony Minghella
m/tales_from_the_crypt_presents_bordello_of_blood,Gilbert Adler
m/tales_from_the_crypt_presents_demon_knight,Ernest R. Dickerson
m/tales_from_the_darkside_the_movie,John Harrison
m/tales_from_the_golden_age,Ioana Uricaru
m/tales_from_the_hood,Rusty Cundieff
m/tales_from_the_hood_2,Rusty Cundieff
m/tales_from_the_script,Peter Hanson
m/tales_of_the_night,Michel Ocelot
m/talihina_sky_the_story_of_kings_of_leon,Stephen Mitchell
m/talk_of_the_town,George Stevens
m/talk_radio,Oliver Stone
m/talk_to_her,Pedro Almodóvar
m/talk_to_me,Kasi Lemmons
m/tall_blond_man_with_one_black_shoe,Yves Robert
m/tall_girl,Nzingha Stewart
m/tall_t,Budd Boetticher
m/tall_tale,Jeremiah Chechik
m/talladega_nights_the_ballad_of_ricky_bobby,Adam McKay
m/tallulah,Sian Heder
m/tamara,Jeremy Haft
m/tamara_drewe_2010,Stephen Frears
m/tammy_2014,Ben Falcone
m/tammys_always_dying,Amy Jo Johnson
m/tampopo,Juzo Itami
m/tangerine_2015,Sean Baker (II)
m/tangerines,Zaza Urushadze
m/tangled,Nathan Greno
m/tango_and_cash,Andrey Konchalovskiy
m/tango_lesson,Sally Potter
m/tank_girl,Rachel Talalay
m/tanna_2016,Bentley Dean
m/tanner-hall,Francesca Gregorini
m/tao_of_steve,Jenniphr Goodman
m/tap,Nick Castle Jr.
m/tap_world,Dean Hargrove
m/tape,Richard Linklater
m/tape_2020,Deborah Kampmeier
m/tapeheads,Bill Fishman
m/taps,Harold Becker
m/targets,Peter Bogdanovich
m/tarzan,Chris Buck
m/tarzan_2013,Reinhard Klooss
m/tarzan_and_jane,Victor Cook
m/tarzan_and_the_lost_city,Carl Schenkel
m/tarzan_escapes,Richard Thorpe
m/tarzan_ii,Brian Smith
m/tashan,Vijay Krishna Acharya
m/taste_of_honey,Tony Richardson
m/taste_the_blood_of_dracula,Peter Sasdy
m/tater_tot_and_patton,Andrew Kightlinger
m/tatsumi_2011,Eric Khoo
m/tau,
m/taxi,Tim Story
m/taxi_driver,Martin Scorsese
m/taxi_to_the_dark_side,Alex Gibney
m/tchoupitoulas,Bill Ross IV
m/tea_with_the_dames,Roger Michell
m/teacher_2019,Adam Dick
m/teacher_of_the_year_2014,Jason Strouse
m/teachers,Arthur Hiller
m/teachers_pet_2004,Timothy Björklund
m/teaching_mrs_tingle,Kevin Williamson
m/team_america_world_police,Trey Parker
m/tears_of_the_black_tiger,Wisit Sasanatieng
m/tears_of_the_sun,Antoine Fuqua
m/ted_2,Seth MacFarlane
m/ted_2012,Seth MacFarlane
m/ted_bundy,Matthew Bright
m/teddy_bear_2012,Mads Matthiesen
m/teen_beach_movie,Jeffrey Hornady
m/teen_spirit_2019,Max Minghella
m/teen_titans_go_to_the_movies,Aaron Horvath
m/teen_titans_the_judas_contract,Sam Liu
m/teen_witch,Dorian Walker
m/teen_wolf,Rod Daniel
m/teenage-paparazzi,Adrian Grenier
m/teenage_2013,Matt Wolf
m/teenage_badass,Grant McCord
m/teenage_cocktail,John Carchietta
m/teenage_mutant_ninja_turtles_2013,Jonathan Liebesman
m/teenage_mutant_ninja_turtles_2_the_secret_of_the_ooze,Michael Pressman
m/teenage_mutant_ninja_turtles_iii,Stuart Gillard
m/teenage_mutant_ninja_turtles_out_of_the_shadows,Dave Green
m/teenage_mutant_ninja_turtles_the_movie,Steve Barron
m/tees_maar_khan_2010,Farah Khan
m/teeth,Mitchell Lichtenstein
m/tehran_taboo,Ali Soozandeh
m/tekken,Dwight H. Little
m/tekkonkinkreet,Michael Arias
m/teknolust,Lynn Hershman-Leeson
m/tel_aviv_on_fire,Sameh Zoabi
m/tell_it_to_the_bees,Annabel Jankel
m/tell_me_that_you_love_me_junie_moon,Otto Preminger
m/tell_me_who_i_am,Ed Perkins
m/telling_lies_in_america,Guy Ferland
m/telstar_the_joe_meek_story,Nick Moran
m/temp,Tom Holland
m/tempest,Julie Taymor
m/temple_grandin,Mick Jackson
m/temptation_2013,Tyler Perry
m/ten_thousand_saints_2015,Robert Pulcini
m/ten_to_midnight,J. Lee Thompson
m/tenacious_d_in_the_pick_of_destiny,Liam Lynch
m/tenant,Roman Polanski
m/tender_mercies,Bruce Beresford
m/tenderness_of_the_wolves,Ulli Lommel
m/tequila_sunrise,Robert Towne
m/term_life,Peter Billingsley
m/terminal_2018,Vaughn Stein
m/terminal_velocity,Deran Sarafian
m/terminator,James Cameron
m/terminator_2_judgment_day,James Cameron
m/terminator_3_rise_of_the_machines,Jonathan Mostow
m/terminator_4,McG
m/terminator_dark_fate,
m/terminator_genisys,Alan Taylor
m/terms_and_conditions_may_apply,Cullen Hoback
m/terms_of_endearment,James L. Brooks
m/terraferma_2011,Emanuele Crialese
m/terri_2011,Azazel Jacobs
m/terribly_happy,Henrik Ruben Genz
m/terrifier,Damien Leone
m/terror_in_a_texas_town,Joseph H. Lewis
m/terror_of_mechagodzilla,Ishirô Honda
m/terror_tract,Lance W. Dreesen
m/terror_train,Roger Spottiswoode
m/tesla,Michael Almereyda
m/tess,Roman Polanski
m/test_2014,Natalia Mateo
m/testament,Lynne Littman
m/testament_of_youth,James Kent
m/tetro,Francis Ford Coppola
m/tetsuo-the-ironman,Shin'ya Tsukamoto
m/tex,Tim Hunter
m/texas_chainsaw,John Luessenhop
m/texas_chainsaw_massacre,Marcus Nispel
m/texas_chainsaw_massacre_2,Tobe Hooper
m/texas_chainsaw_massacre_the_next_generation,Kim Henkel
m/texas_killing_fields,Ami Canaan Mann
m/thale_2012,Aleksander L. Nordaas
m/thank_god_its_friday,Robert Klane
m/thank_you_for_playing,David Osit
m/thank_you_for_smoking,Jason Reitman
m/thank_you_for_your_service_2017,Jason Hall
m/thanks_for_sharing,Stuart Blumberg
m/tharlo,Pema Tseden
m/that-touch-of-mink,Delbert Mann
m/that_awkward_moment,Tom Gormican
m/that_evening_sun,Scott Teems
m/that_man_from_rio,Philippe de Broca
m/that_man_peter_berlin,Jim Tushniski
m/that_night,Craig Bolotin
m/that_obscure_object_of_desire,Luis Buñuel
m/that_old_feeling,Carl Reiner
m/that_sugar_film,Damon Gameau
m/that_summer_2018,Goran Olsson
m/that_thing_you_do,Tom Hanks
m/that_uncertain_feeling,Ernst Lubitsch
m/thats-entertainment-iii,Bud Friedgen
m/thats_entertainment,Jack Haley Jr.
m/thats_entertainment_part_2,Gene Kelly
m/thats_my_boy_2012,Sean Anders
m/thats_the_way_i_like_it,Glen Goei
m/thats_what_i_am,Mike Pavone
m/thats_what_she_said_2012,Carrie Preston
m/the-5000-fingers-of-dr-t,Roy Rowland
m/the-9th-company,Fedor Bondarchuk
m/the-actress-1953,George Cukor
m/the-adventures-of-sharkboy-and-lavagirl-in-3d,Robert Rodriguez
m/the-amateurs,Michael Traeger
m/the-baby1973,Ted Post
m/the-backyard,Paul Hough
m/the-best-and-the-brightest,Josh Shelov
m/the-blue-tooth-virgin,Russell Brown (VI)
m/the-bogus-witch-project,Alex Zamm
m/the-bridesmaid,Claude Chabrol
m/the-bunker,Rob Green
m/the-cake-eaters,Mary Stuart Masterson
m/the-cheetah-girls-2,Kenny Ortega
